tap_data,time_data
360,561
353,571
360,578
360,582
355,595
360,597
360,601
360,607
360,611
354,619
356,623
359,628
360,636
360,640
360,648
354,655
360,661
359,665
355,668
360,677
360,681
358,689
360,693
360,699
360,705
360,712
354,717
356,722
360,726
360,734
360,738
353,746
353,751
360,758
360,763
360,769
360,775
353,780
353,787
360,792
360,797
360,804
360,808
360,816
360,820
360,824
360,832
360,838
353,844
355,851
360,857
360,861
360,868
360,873
359,877
360,885
360,890
353,895
360,908
360,910
360,914
360,918
360,925
360,931
360,937
360,943
359,947
360,955
360,960
360,965
360,972
360,978
360,984
359,988
353,993
360,1001
360,1004
360,1012
360,1017
353,1021
355,1029
360,1035
360,1042
360,1046
360,1053
353,1057
356,1064
360,1070
360,1074
360,1083
360,1086
357,1090
360,1098
360,1103
360,1111
360,1115
360,1119
360,1127
360,1132
353,1139
355,1145
360,1152
360,1156
360,1160
360,1168
353,1172
360,1180
359,1185
355,1189
360,1197
360,1201
360,1210
360,1213
354,1219
355,1226
360,1232
360,1237
360,1243
360,1250
353,1254
360,1258
360,1266
353,1272
360,1279
359,1283
355,1287
360,1295
360,1300
360,1307
360,1312
360,1316
360,1324
360,1328
353,1336
360,1340
360,1348
360,1353
360,1356
360,1365
360,1370
360,1377
360,1381
360,1385
360,1394
353,1398
353,1406
360,1410
360,1414
360,1422
360,1428
354,1434
360,1439
360,1446
360,1451
360,1455
360,1463
360,1469
360,1475
360,1479
360,1484
360,1492
353,1496
353,1504
360,1509
360,1512
360,1520
360,1524
353,1533
360,1537
360,1545
416,1549
420,1553
420,1562
413,1565
416,1573
420,1578
415,1584
419,1590
420,1595
415,1602
418,1606
420,1615
413,1620
413,1623
420,1631
420,1637
415,1643
419,1647
420,1656
415,1660
419,1664
420,1672
413,1678
413,1684
420,1689
420,1696
413,1701
416,1705
420,1713
415,1719
419,1725
420,1730
415,1733
420,1742
420,1746
413,1754
413,1758
415,1766
420,1770
416,1777
420,1783
420,1786
416,1795
419,1799
420,1807
413,1811
414,1815
420,1824
420,1828
413,1835
418,1840
420,1848
416,1852
420,1858
420,1864
415,1870
420,1876
420,1882
413,1889
414,1893
419,1897
420,1905
417,1909
419,1917
420,1921
416,1926
419,1934
420,1939
413,1946
414,1953
420,1959
420,1963
413,1967
418,1975
420,1979
416,1987
420,1991
420,2000
415,2004
420,2008
420,2016
413,2020
414,2029
419,2033
420,2040
417,2044
419,2051
420,2057
415,2063
420,2069
420,2073
413,2081
415,2085
420,2090
420,2098
413,2102
418,2111
420,2114
416,2119
420,2127
420,2132
415,2145
420,2147
420,2151
413,2155
415,2161
419,2168
420,2172
413,2180
419,2184
420,2192
416,2196
419,2202
420,2209
413,2213
415,2221
420,2227
420,2233
413,2237
418,2243
420,2249
416,2254
419,2261
420,2268
413,2274
419,2278
420,2284
413,2291
10000,2300
10000,2312
10000,2328
10000,2344
10000,2362
10000,2368
10000,2386
10000,2400
10000,2413
10000,2426
10000,2442
10000,2460
10000,2472
10000,2483
10000,2503
