tap_data,time_data
990,564
962,575
961,581
970,586
961,593
971,597
962,605
966,610
960,618
961,624
963,633
961,639
963,644
962,651
970,655
960,663
963,667
965,676
966,682
963,687
962,693
968,700
962,708
967,712
953,720
968,727
962,732
960,736
966,745
962,749
955,758
961,763
968,769
960,773
960,784
971,790
420,795
420,802
420,806
420,813
418,819
420,825
420,831
415,835
419,843
420,848
413,852
416,859
420,863
420,872
413,876
417,880
420,888
415,892
420,900
420,904
413,913
417,917
420,924
413,929
414,935
419,941
420,947
419,954
420,958
420,964
413,970
417,976
420,982
413,989
414,995
420,999
420,1003
413,1011
419,1017
420,1023
415,1028
420,1035
420,1039
413,1044
413,1052
420,1058
420,1064
420,1068
420,1072
420,1080
420,1085
420,1093
420,1099
420,1105
420,1109
420,1115
418,1122
419,1128
420,1134
420,1140
413,1146
419,1151
420,1156
416,1163
419,1169
420,1175
413,1181
414,1187
420,1192
420,1196
413,1204
418,1210
420,1217
416,1221
420,1228
420,1233
415,1238
420,1245
420,1249
413,1257
415,1261
419,1267
420,1273
413,1278
419,1286
420,1290
416,1298
419,1302
420,1306
413,1314
415,1319
420,1327
420,1333
413,1339
418,1343
420,1347
416,1355
419,1361
420,1367
413,1372
420,1380
420,1384
413,1388
415,1397
419,1402
420,1408
413,1415
419,1420
420,1426
416,1429
419,1437
420,1443
413,1449
416,1454
420,1458
420,1466
413,1471
418,1478
420,1484
416,1490
420,1494
420,1499
415,1507
419,1511
420,1519
413,1526
415,1532
419,1535
420,1541
413,1548
418,1554
420,1560
416,1564
419,1572
420,1576
413,1583
415,1589
420,1593
420,1601
413,1605
418,1613
420,1618
416,1621
419,1630
420,1636
416,1642
420,1646
420,1651
413,1659
415,1662
419,1671
420,1675
413,1683
419,1688
420,1691
413,1699
419,1705
420,1712
413,1716
414,1724
420,1728
420,1732
413,1741
418,1745
420,1752
416,1757
419,1765
420,1769
416,1774
419,1782
420,1785
413,1793
415,1797
420,1806
420,1810
415,1814
420,1823
420,1827
416,1834
419,1839
420,1844
413,1851
414,1855
420,1863
420,1869
413,1875
418,1879
420,1885
415,1892
420,1897
420,1904
415,1908
420,1916
420,1921
413,1927
414,1933
419,1938
420,1945
413,1950
419,1957
420,1961
416,1966
419,1974
420,1978
413,1986
414,1992
420,1998
420,2003
413,2007
418,2015
420,2019
416,2027
420,2031
420,2037
415,2043
420,2050
420,2055
413,2061
414,2068
419,2072
420,2078
417,2084
419,2090
420,2097
416,2103
419,2109
420,2113
413,2119
414,2125
420,2131
420,2138
413,2144
418,2150
420,2154
416,2158
420,2167
420,2173
415,2178
420,2184
420,2191
413,2195
415,2201
419,2207
420,2213
413,2220
419,2224
420,2228
416,2236
419,2242
420,2248
413,2252
415,2262
420,2265
420,2270
413,2277
418,2282
420,2289
416,2294
419,2301
420,2305
413,2310
420,2318
420,2324
413,2330
415,2334
419,2342
420,2346
413,2351
419,2359
420,2363
416,2371
419,2375
420,2383
413,2388
416,2394
420,2400
420,2404
413,2412
418,2417
420,2422
416,2428
420,2434
420,2441
415,2445
419,2453
420,2457
413,2461
415,2469
419,2473
420,2481
413,2486
419,2494
420,2498
413,2504
419,2510
420,2514
413,2522
414,2527
420,2535
420,2539
413,2544
418,2551
420,2556
416,2563
419,2568
420,2577
416,2580
449,2586
5982,2593
7273,2605
3647,2617
1405,2625
443,2631
450,2637
449,2641
414,2646
418,2654
420,2658
415,2666
420,2672
420,2679
413,2682
413,2687
420,2695
420,2700
420,2707
413,2711
420,2719
413,2724
420,2730
420,2736
417,2739
419,2748
420,2752
413,2756
418,2765
420,2769
420,2777
413,2781
418,2789
420,2793
417,2797
416,2805
420,2811
413,2817
433,2821
450,2830
7616,2837
3494,2847
450,2855
449,2862
418,2867
419,2871
420,2879
417,2885
419,2891
420,2896
413,2899
415,2908
419,2912
420,2920
416,2924
420,2932
420,2936
416,2940
419,2949
420,2955
413,2961
414,2965
420,2973
420,2977
450,2981
8467,2995
8324,3008
480,3014
450,3022
450,3026
449,3033
421,3039
420,3043
419,3051
416,3055
420,3063
420,3068
413,3072
419,3080
420,3084
415,3093
420,3098
420,3104
413,3108
413,3114
420,3121
420,3127
426,3132
