tap_data,time_data
30,1
29,2
29,4
30,5
30,6
29,7
30,8
30,9
29,11
30,12
30,13
29,14
30,15
29,17
30,18
30,19
29,20
30,21
29,23
30,24
30,25
29,26
30,27
29,28
29,29
29,30
29,32
29,33
29,34
30,35
29,37
29,38
30,39
29,40
29,42
30,43
30,44
29,45
30,47
30,48
29,49
30,51
30,52
29,53
30,54
29,55
30,57
30,58
29,59
30,61
29,62
30,63
30,64
29,65
30,67
29,68
29,69
29,71
29,72
29,73
29,74
30,75
29,76
29,78
30,79
29,80
29,81
30,82
30,83
29,84
30,85
30,87
29,88
30,89
30,90
29,91
30,93
29,94
30,95
30,96
29,97
30,99
29,100
30,101
30,102
29,104
30,105
29,106
29,107
29,109
29,110
29,111
29,112
30,114
31,115
30,116
30,117
30,118
30,120
30,121
30,122
30,123
30,124
29,125
29,127
30,128
29,129
29,130
28,131
30,132
30,134
30,135
29,136
30,137
29,138
29,139
29,140
29,142
29,143
29,144
30,145
30,146
29,148
30,149
29,150
30,151
30,152
29,153
30,154
29,156
29,157
30,158
29,159
29,160
30,162
29,163
30,164
30,165
29,167
30,168
30,169
29,170
30,171
29,172
29,174
30,175
29,177
29,178
29,179
29,180
30,181
30,182
29,183
30,185
29,186
30,187
30,188
29,189
30,190
29,192
30,193
30,194
29,195
30,196
29,198
29,199
30,200
29,201
29,202
29,203
30,205
30,206
29,207
30,208
29,210
30,211
30,212
29,213
30,214
32,216
30,217
30,218
30,219
30,221
30,222
30,223
30,224
30,225
30,226
30,227
30,229
29,230
29,231
29,232
30,234
29,235
29,236
29,237
33,239
30,240
30,241
30,247
30,252
30,260
30,266
30,273
29,280
29,286
30,292
30,299
30,307
30,309
30,317
30,321
30,329
30,337
30,342
30,350
28,355
29,363
30,369
29,376
30,378
30,387
30,391
30,399
30,407
30,411
30,419
30,426
30,432
30,438
28,446
29,448
29,459
30,464
29,470
28,477
29,481
29,489
30,494
30,502
29,508
29,515
29,518
30,529
30,534
29,538
29,546
29,551
30,559
30,564
28,571
29,578
29,585
30,591
30,596
29,604
29,608
29,616
30,620
30,628
29,633
29,641
29,648
30,656
30,661
28,668
29,673
29,677
30,688
30,690
28,698
29,703
29,711
30,718
29,723
28,731
29,737
29,744
30,747
30,758
28,760
30,767
30,772
30,780
30,788
30,793
30,800
30,807
30,814
30,817
30,828
30,829
30,837
31,845
30,852
30,858
30,864
30,872
30,877
30,883
30,886
30,897
30,903
30,907
30,915
30,919
30,927
30,932
30,940
30,946
30,954
30,956
30,967
30,972
30,976
28,985
30,989
30,997
29,1002
29,1010
30,1015
30,1022
31,1030
30,1036
30,1042
31,1046
30,1056
29,1060
30,1066
30,1071
30,1081
30,1087
30,1091
30,1099
30,1105
30,1113
30,1116
30,1126
30,1128
29,1136
29,1140
29,1148
30,1157
30,1163
29,1169
30,1175
30,1182
32,1188
30,1196
30,1197
30,1206
30,1214
30,1219
30,1226
29,1230
30,1239
29,1244
30,1251
29,1258
29,1265
29,1267
30,1275
30,1284
29,1288
30,1296
29,1301
30,1308
30,1314
29,1321
30,1327
29,1334
30,1341
30,1345
29,1353
30,1357
29,1366
30,1370
30,1378
29,1383
30,1390
29,1397
30,1405
30,1410
29,1417
30,1423
29,1427
30,1435
30,1439
35,1447
10000,1502
4199,1522
34,1534
30,1537
30,1546
30,1550
30,1558
30,1564
30,1573
29,1579
30,1584
29,1591
28,1595
29,1605
29,1607
30,1615
29,1620
30,1628
35,1636
10000,1682
1378,1697
30,1710
30,1714
30,1718
30,1726
30,1733
29,1740
30,1745
30,1752
30,1755
30,1763
30,1771
30,1775
30,1783
30,1787
30,1796
30,1800
31,1808
29,1814
28,1821
36,1829
10000,1880
48,1890
30,1894
30,1898
30,1906
30,1911
30,1919
30,1923
30,1932
30,1935
30,1945
30,1951
30,1958
30,1963
30,1967
30,1976
30,1982
30,1988
30,1994
36,2001
9888,2056
33,2062
29,2066
29,2071
29,2078
32,2086
30,2091
30,2099
30,2105
30,2112
29,2115
30,2126
30,2127
29,2136
29,2142
29,2150
29,2156
29,2161
32,2168
30,2175
31,2182
6437,2216
42,2226
30,2230
30,2234
30,2244
30,2246
30,2254
30,2262
30,2266
30,2275
30,2279
30,2287
30,2293
30,2300
30,2306
30,2314
30,2317
32,2324
33,2332
10000,2383
52,2394
30,2398
31,2404
29,2412
30,2414
29,2425
30,2426
30,2434
30,2441
30,2447
30,2455
30,2460
30,2467
30,2473
30,2480
30,2484
30,2494
43,2496
8284,2543
34,2550
30,2557
30,2564
30,2570
30,2574
30,2584
29,2586
29,2594
29,2598
30,2609
30,2612
28,2619
29,2627
29,2633
30,2639
31,2643
30,2654
30,2656
51,2664
8380,2711
31,2717
30,2723
30,2730
30,2734
30,2744
30,2746
30,2754
30,2758
30,2769
30,2772
30,2779
30,2787
30,2793
30,2799
30,2803
29,2814
29,2817
37,2824
9429,2869
30,2881
30,2885
30,2893
30,2898
29,2905
30,2911
29,2920
30,2926
29,2932
29,2939
30,2945
30,2953
29,2955
30,2963
30,2967
36,2975
10000,3029
46,3037
30,3043
34,3049
30,3053
30,3061
30,3065
30,3073
29,3078
29,3087
30,3092
29,3098
29,3106
29,3112
29,3119
46,3123
10000,3178
47,3186
30,3191
30,3197
30,3202
30,3209
30,3213
30,3223
30,3229
30,3234
30,3241
30,3245
30,3254
30,3258
29,3267
30,3272
30,3279
10000,3334
30,3340
39,3344
30,3352
30,3356
30,3364
30,3369
30,3377
30,3383
30,3390
30,3393
30,3401
31,3406
30,3414
30,3422
30,3428
30,3434
30,3440
32,3447
39,3452
3655,3473
33,3483
37,3487
30,3495
30,3501
30,3509
30,3512
30,3522
30,3524
30,3532
30,3540
28,3547
29,3553
29,3557
30,3566
29,3571
30,3578
31,3584
30,3591
37,3598
7649,3641
50,3647
30,3654
30,3655
31,3663
30,3672
30,3676
30,3684
30,3688
30,3696
30,3703
31,3709
30,3712
30,3723
31,3725
30,3733
30,3741
33,3748
39,3753
10000,3800
5046,3834
30,3844
31,3850
30,3856
30,3862
31,3868
30,3872
30,3883
30,3884
30,3893
30,3897
32,3905
30,3913
30,3918
30,3925
30,3932
30,3939
10000,3987
2468,4008
31,4016
30,4022
30,4028
30,4032
30,4043
30,4044
30,4052
28,4059
30,4065
30,4071
30,4080
30,4085
30,4091
30,4098
30,4101
32,4112
56,4114
10000,4168
34,4179
30,4183
34,4188
30,4196
30,4202
30,4208
30,4212
30,4223
30,4224
30,4233
29,4238
29,4245
29,4252
29,4258
38,4265
49,4272
10000,4321
249,4331
30,4339
34,4343
30,4351
30,4356
30,4363
30,4370
30,4376
30,4383
30,4390
30,4392
30,4400
31,4409
30,4414
30,4421
30,4425
31,4433
31,4439
9557,4487
31,4499
30,4505
30,4510
30,4515
30,4522
31,4529
30,4536
29,4543
29,4548
29,4552
30,4563
29,4565
30,4572
29,4579
34,4585
31,4591
50,4598
10000,4647
30,4661
31,4663
30,4671
30,4675
30,4685
30,4689
30,4696
30,4702
33,4710
29,4712
30,4720
29,4728
30,4732
29,4740
30,4747
37,4753
10000,4807
32,4814
30,4821
31,4823
30,4830
30,4835
31,4843
30,4851
30,4856
30,4863
30,4869
30,4876
30,4880
32,4891
30,4893
30,4900
30,4908
30,4913
30,4921
38,4926
8743,4969
30,4982
30,4987
30,4990
30,5001
31,5003
30,5011
30,5019
30,5023
30,5031
30,5036
30,5044
