tap_data,time_data
59,0
60,2
60,3
59,5
53,6
58,7
55,8
51,9
54,10
60,12
57,13
60,14
60,15
57,16
58,17
60,19
55,20
59,21
60,22
50,23
60,25
52,26
53,27
60,28
59,29
50,31
60,32
59,33
51,35
60,36
58,37
56,38
60,39
60,41
57,42
58,43
59,44
60,45
58,47
60,48
60,49
59,50
59,52
60,53
59,54
60,55
59,56
58,58
60,59
60,60
57,61
60,62
59,64
54,65
59,66
60,67
54,69
59,70
57,71
53,72
60,73
60,74
55,76
60,77
60,78
52,79
60,80
59,82
54,83
59,84
57,85
58,87
58,88
58,89
60,90
59,91
58,92
60,94
59,95
58,96
60,98
59,99
60,100
59,106
55,113
59,120
60,126
54,130
60,138
59,142
56,150
60,158
57,162
53,171
58,175
59,183
58,191
60,198
59,203
56,209
60,216
60,220
59,230
60,236
60,241
56,251
60,252
59,261
59,269
59,273
60,281
59,285
60,295
60,299
59,306
60,314
60,320
58,326
60,330
60,341
59,347
57,351
60,359
59,365
58,371
60,379
60,386
58,392
60,397
60,404
48,408
60,419
60,425
52,429
60,438
59,442
54,452
59,453
58,461
52,469
60,474
60,482
55,486
60,494
60,502
59,506
60,515
60,519
60,527
60,535
60,539
59,547
60,553
58,560
58,564
60,572
59,580
59,585
60,592
58,596
59,605
60,613
58,617
59,625
57,629
60,640
59,641
56,650
60,658
59,665
55,673
60,674
60,684
53,691
60,695
60,703
54,709
60,715
60,720
53,730
59,736
60,740
60,751
59,755
59,760
59,769
58,772
60,781
60,787
60,796
59,797
60,805
58,813
58,818
60,826
57,830
59,838
60,846
53,850
60,858
57,865
53,873
59,878
59,883
55,891
60,895
60,904
51,911
60,916
57,924
57,931
60,936
59,940
53,951
59,953
59,961
57,969
60,973
60,981
57,985
58,994
60,1002
58,1006
60,1014
60,1018
60,1027
58,1032
59,1039
60,1047
60,1052
60,1059
58,1066
56,1074
60,1080
58,1084
57,1094
60,1096
59,1104
56,1108
60,1117
58,1125
51,1129
60,1137
60,1141
47,1149
59,1157
60,1162
47,1170
59,1174
60,1182
50,1186
60,1194
60,1203
58,1207
60,1215
59,1219
58,1227
59,1235
59,1240
58,1248
59,1254
59,1260
58,1264
56,1275
60,1281
58,1286
10000,1336
650,1346
60,1356
60,1362
60,1367
60,1378
60,1382
60,1387
58,1391
58,1399
60,1407
60,1411
10000,1467
8571,1509
60,1519
60,1526
53,1531
60,1539
60,1543
60,1551
60,1555
10000,1605
5651,1643
60,1649
60,1657
58,1662
54,1671
58,1676
60,1682
59,1687
60,1694
60,1703
58,1709
10000,1757
7355,1802
60,1809
58,1813
58,1822
60,1827
58,1833
58,1841
60,1848
58,1854
59,1858
10000,1910
3921,1934
58,1944
59,1949
60,1956
58,1965
56,1970
60,1977
60,1981
58,1991
60,1994
10000,2042
3110,2063
60,2079
58,2084
59,2088
58,2096
60,2100
58,2108
59,2116
59,2120
60,2128
60,2132
60,2141
10000,2196
130,2202
58,2209
60,2214
59,2218
58,2229
58,2231
59,2239
60,2247
59,2251
60,2259
58,2263
59,2272
59,2276
60,2284
10000,2337
58,2347
60,2349
58,2358
60,2363
55,2372
60,2376
58,2383
51,2390
58,2396
60,2403
55,2407
59,2415
59,2423
10000,2475
264,2485
60,2489
60,2495
58,2503
55,2509
60,2515
60,2521
58,2526
60,2536
60,2542
60,2547
59,2555
60,2558
60,2569
10000,2622
60,2628
60,2633
60,2641
60,2644
56,2653
60,2657
60,2665
54,2670
60,2677
57,2685
55,2690
60,2699
60,2704
59,2710
5854,2744
59,2751
60,2755
59,2764
58,2769
60,2778
58,2784
58,2789
60,2796
60,2800
56,2810
59,2816
60,2821
60,2829
60,2834
60,2841
60,2849
59,2853
60,2861
59,2866
60,2874
60,2878
59,2886
60,2894
58,2898
58,2907
60,2911
58,2919
58,2927
60,2931
59,2942
58,2943
60,2952
60,2956
60,2964
7020,3003
58,3013
60,3017
58,3021
57,3032
60,3033
59,3042
59,3050
60,3054
58,3062
58,3066
60,3077
58,3083
60,3087
60,3095
58,3101
58,3107
60,3113
10000,3167
5151,3195
60,3206
59,3210
58,3218
59,3222
58,3233
60,3237
60,3244
56,3246
60,3255
60,3268
59,3269
10000,3317
4350,3347
60,3357
58,3361
60,3367
60,3376
60,3382
60,3386
60,3397
58,3398
57,3406
58,3410
60,3421
59,3427
60,3431
10000,3483
1659,3493
60,3509
58,3515
58,3518
60,3525
58,3529
58,3538
59,3545
53,3549
60,3558
59,3562
55,3570
60,3578
10000,3623
2738,3643
60,3657
59,3663
58,3669
60,3674
58,3681
60,3689
60,3695
60,3701
58,3705
58,3715
60,3721
60,3726
10000,3775
4227,3805
60,3812
58,3820
60,3824
60,3835
60,3837
59,3844
60,3848
59,3857
10000,3913
10000,3965
10000,4015
1766,4025
60,4039
59,4045
57,4049
60,4057
60,4063
56,4070
60,4074
60,4083
59,4090
60,4096
60,4105
10000,4153
1776,4164
59,4176
59,4181
60,4189
58,4197
58,4202
60,4209
58,4213
58,4222
60,4225
59,4234
57,4242
60,4248
59,4254
58,4258
60,4268
10000,4320
498,4331
58,4336
60,4341
59,4350
58,4353
60,4362
58,4369
59,4373
60,4382
59,4385
58,4393
60,4397
60,4406
60,4414
59,4418
10000,4473
439,4480
59,4488
60,4492
59,4500
58,4504
60,4512
58,4520
58,4524
60,4533
58,4538
59,4548
60,4553
10000,4598
60,4614
60,4618
58,4623
58,4631
60,4636
58,4644
59,4651
59,4657
58,4664
60,4668
10000,4715
184,4733
59,4737
60,4744
60,4750
60,4756
59,4765
60,4766
60,4774
58,4782
60,4786
60,4795
60,4799
10000,4853
3177,4873
60,4885
60,4889
58,4893
60,4903
59,4905
57,4914
60,4922
59,4926
58,4934
60,4938
56,4946
60,4950
60,4961
10000,5010
2641,5031
60,5040
59,5044
59,5049
59,5057
60,5063
56,5070
59,5077
60,5081
60,5091
60,5094
10000,5141
5485,5182
60,5188
60,5192
60,5200
58,5204
60,5212
60,5221
60,5225
59,5233
60,5237
10000,5292
158,5302
60,5307
59,5313
60,5320
60,5323
56,5331
60,5335
59,5343
57,5352
60,5356
59,5364
60,5370
9139,5410
59,5425
54,5431
60,5438
60,5446
53,5450
58,5458
60,5462
53,5470
60,5479
60,5485
55,5491
60,5495
60,5503
58,5507
10000,5560
3136,5580
60,5594
58,5597
60,5604
56,5612
58,5614
60,5622
59,5630
60,5634
60,5642
60,5646
60,5655
59,5659
10000,5712
4084,5732
60,5749
59,5753
60,5757
59,5765
55,5774
58,5778
58,5786
59,5790
59,5801
10000,5851
2460,5862
58,5876
59,5883
60,5891
58,5893
59,5903
59,5909
58,5913
59,5923
60,5925
59,5934
59,5942
10000,5992
4224,6015
60,6028
58,6032
60,6040
60,6045
57,6052
60,6056
60,6064
59,6068
10000,6120
5158,6151
60,6163
60,6167
58,6175
58,6181
60,6188
55,6191
60,6202
60,6206
59,6212
60,6220
60,6227
10000,6278
245,6288
60,6294
59,6301
60,6306
52,6310
60,6318
59,6323
55,6331
58,6339
60,6343
