tap_data,time_data
30,0
30,2
30,3
30,4
30,6
30,7
30,8
30,9
30,10
30,12
30,13
30,14
30,15
30,16
29,18
29,19
30,20
29,22
29,23
29,24
29,25
30,27
30,28
29,29
30,30
29,31
30,33
30,34
29,35
30,37
29,38
30,39
30,40
29,42
30,43
29,44
29,45
30,47
29,48
29,49
30,50
29,51
30,53
30,54
29,55
30,56
30,57
29,59
30,60
29,61
29,63
30,64
29,65
29,66
29,68
29,69
30,70
30,71
29,73
30,74
29,75
30,77
30,78
29,79
30,80
29,82
30,83
30,84
29,85
30,86
29,88
29,89
30,90
29,91
29,93
29,94
30,96
30,97
29,98
30,99
29,101
30,102
30,104
29,105
30,106
29,107
30,116
30,118
29,126
30,134
29,138
29,146
30,151
29,159
29,164
29,172
30,175
30,186
29,187
30,196
29,204
30,208
30,216
29,221
30,230
29,235
30,243
30,245
29,255
30,261
29,265
29,273
30,279
29,286
29,290
30,298
30,304
29,311
30,317
30,324
29,331
30,335
30,343
29,347
30,355
29,360
30,368
30,373
29,381
30,388
29,394
30,400
30,407
29,415
30,417
29,427
29,432
29,439
29,442
29,450
29,458
30,463
30,470
29,477
30,484
29,486
30,494
30,498
29,507
30,515
29,519
30,527
30,533
29,542
30,544
29,554
29,556
29,567
29,572
29,576
29,584
30,589
30,597
29,602
30,609
29,616
30,623
30,625
29,636
30,642
29,648
30,654
30,658
29,666
30,672
29,679
29,685
29,693
29,700
29,703
29,711
30,716
30,724
29,728
30,736
29,742
30,748
30,755
29,762
30,769
29,775
30,781
30,785
29,796
30,798
29,806
29,810
29,818
29,826
29,831
29,839
30,845
30,853
29,858
30,866
29,867
30,875
30,880
29,888
30,896
29,901
30,908
30,915
29,922
30,924
29,935
29,937
29,945
29,953
29,957
29,965
30,970
30,978
29,984
30,991
29,994
30,1005
30,1006
29,1015
30,1023
29,1027
29,1035
30,1040
29,1049
29,1054
30,1061
29,1064
10000,1116
10000,1171
30,1183
30,1187
30,1192
30,1195
30,1206
29,1211
30,1215
30,1223
30,1228
38,1236
10000,1287
3633,1311
30,1318
30,1322
30,1332
