tap_data,time_data
30,2
30,4
38,5
32,6
30,7
40,8
44,10
29,11
37,12
33,13
30,14
34,16
40,17
33,18
31,19
41,21
34,22
30,23
31,24
34,26
30,27
42,28
36,30
30,31
38,32
33,34
29,35
39,36
35,37
30,38
41,40
35,41
30,42
36,43
42,44
32,46
31,47
40,48
31,49
31,51
42,52
34,53
30,54
34,55
36,56
30,57
39,59
36,60
30,61
42,62
35,64
30,65
38,66
38,67
30,68
35,70
37,71
31,72
32,73
40,74
34,75
30,76
41,78
31,79
30,80
34,81
31,82
30,83
40,85
37,86
30,87
43,88
38,89
30,90
49,91
36,93
30,94
36,95
31,96
30,98
32,99
42,100
33,101
31,104
45,110
35,117
30,120
42,131
33,136
30,143
37,149
35,155
30,161
48,168
36,176
30,180
50,189
35,194
30,200
42,206
33,211
31,221
34,225
41,232
34,236
32,243
43,252
34,256
30,264
43,270
33,277
32,281
41,291
33,292
28,303
48,309
36,313
31,321
50,326
36,333
29,339
45,346
34,353
30,360
37,366
37,371
31,378
33,383
38,391
34,395
31,404
43,408
32,418
30,424
40,430
36,436
30,441
40,450
36,452
30,460
43,467
38,473
29,481
49,485
33,493
30,497
41,505
38,512
30,518
37,526
35,532
32,538
31,542
41,552
32,554
30,563
42,569
37,575
30,583
38,587
36,595
30,602
41,608
37,612
30,622
49,624
35,634
30,641
37,645
36,653
30,659
36,667
42,672
33,679
32,682
35,690
33,698
31,702
44,710
31,714
31,723
37,727
32,735
30,739
37,748
31,755
30,759
45,768
36,773
30,780
47,784
36,793
30,796
10000,844
2133,868
52,877
34,881
49,886
37,894
30,901
49,907
34,911
29,921
42,923
38,931
30,939
41,943
37,952
45,956
10000,1009
770,1019
59,1026
45,1034
30,1041
42,1046
35,1050
30,1060
42,1062
36,1071
31,1079
33,1085
38,1091
33,1096
31,1104
55,1110
58,1116
9252,1158
51,1173
35,1177
51,1185
38,1189
30,1200
35,1202
36,1210
34,1214
31,1222
46,1230
33,1234
31,1243
48,1247
39,1255
32,1261
10000,1311
73,1325
60,1329
44,1333
32,1341
43,1345
37,1353
30,1359
44,1366
34,1370
30,1380
36,1386
36,1390
31,1398
40,1402
55,1411
10000,1459
1351,1472
44,1484
58,1488
46,1495
30,1502
41,1509
38,1513
30,1522
45,1525
37,1534
30,1538
50,1548
37,1554
30,1558
58,1566
10000,1616
60,1628
57,1632
33,1636
36,1646
38,1648
30,1656
31,1664
43,1669
35,1677
33,1681
41,1689
38,1693
34,1703
52,1707
43,1714
10000,1769
70,1776
35,1779
53,1787
42,1791
30,1800
47,1804
34,1815
29,1817
42,1824
33,1833
30,1837
36,1845
41,1849
31,1857
44,1863
10000,1916
1272,1929
53,1935
31,1939
49,1947
38,1955
34,1962
41,1968
33,1974
30,1981
41,1986
35,1994
30,1999
45,2006
35,2013
30,2020
46,2025
10000,2077
1426,2092
54,2099
44,2106
46,2107
38,2117
31,2124
43,2127
35,2138
30,2140
37,2148
33,2154
30,2160
45,2164
37,2172
31,2181
59,2185
10000,2238
68,2248
54,2250
32,2259
44,2262
34,2271
30,2279
35,2283
38,2291
34,2297
35,2304
46,2307
33,2318
32,2322
58,2328
48,2336
10000,2380
1608,2401
59,2410
44,2414
30,2422
46,2429
35,2435
31,2439
47,2447
37,2453
30,2459
43,2464
36,2473
30,2479
39,2484
42,2494
30,2496
47,2506
10000,2558
741,2568
53,2576
32,2579
51,2589
34,2591
30,2598
44,2606
41,2610
30,2619
40,2625
37,2631
31,2638
34,2645
39,2650
43,2656
42,2664
10000,2713
564,2725
53,2731
35,2738
41,2742
40,2752
34,2754
33,2762
46,2770
32,2774
33,2782
41,2787
36,2795
30,2799
45,2807
44,2811
10000,2867
57,2877
37,2881
49,2887
38,2893
30,2897
42,2908
34,2909
30,2918
37,2922
35,2930
31,2938
32,2942
40,2951
37,2955
33,2963
58,2967
10000,3021
345,3032
53,3037
40,3041
49,3049
36,3053
32,3061
47,3069
39,3073
30,3082
39,3088
34,3094
31,3100
40,3108
36,3114
32,3120
10000,3174
58,3180
56,3186
41,3194
30,3196
45,3204
35,3209
30,3217
36,3225
36,3229
32,3237
31,3243
45,3250
35,3254
31,3262
57,3266
10000,3321
58,3332
53,3336
33,3342
50,3348
40,3353
29,3362
47,3366
37,3375
30,3376
44,3387
38,3393
30,3397
41,3405
38,3409
30,3417
35,3424
38,3432
31,3436
32,3445
42,3450
35,3456
30,3462
42,3467
36,3476
30,3479
35,3487
37,3491
30,3499
47,3508
35,3512
30,3520
51,3524
35,3534
30,3537
44,3545
35,3553
29,3557
40,3565
40,3569
32,3578
42,3584
47,3589
34,3594
32,3602
48,3610
37,3614
30,3622
41,3626
33,3634
30,3639
33,3647
35,3651
30,3659
46,3668
34,3671
28,3679
41,3684
33,3692
30,3698
37,3704
34,3708
29,3719
34,3725
33,3729
30,3737
30,3741
42,3751
35,3756
30,3764
37,3768
35,3776
30,3782
34,3786
35,3794
30,3800
41,3806
35,3811
30,3820
48,3823
34,3831
29,3839
46,3843
35,3854
30,3856
33,3866
35,3868
32,3876
34,3880
41,3888
31,3897
31,3901
43,3909
34,3913
31,3921
35,3927
32,3934
30,3938
35,3946
34,3954
31,3961
43,3967
34,3973
30,3981
39,3986
33,3993
30,3995
