at20_s13_l,is20_13_l
85,115
61,123
53,117
65,92
93,94
76,108
55,125
51,124
65,129
59,126
75,110
58,101
72,117
66,122
72,112
63,118
54,113
75,102
76,114
64,115
74,132
25,148
48,145
51,129
51,130
59,141
52,139
57,120
70,107
79,122
53,147
67,135
29,154
55,130
58,142
67,134
63,116
87,123
51,104
97,137
51,115
78,135
34,144
88,121
80,113
43,157
59,109
92,275
90,123
79,107
80,129
69,144
77,143
40,145
35,128
53,112
71,146
22,117
93,129
63,114
86,126
84,118
86,116
73,121
67,124
93,111
82,135
53,129
96,111
78,115
77,135
62,131
78,132
64,150
35,129
73,135
82,87
88,127
106,128
60,149
48,153
84,131
91,110
86,70
135,125
61,100
107,116
68,138
92,119
73,116
89,178
86,98
84,115
80,150
73,99
89,114
84,107
80,144
74,108
105,107
93,98
99,110
104,94
102,103
85,128
95,96
86,112
122,95
130,126
55,120
84,261
84,160
23,143
83,161
46,135
