at20_s25_r,is20_s25_r
9,9
52,144
52,103
65,104
56,109
55,109
55,110
45,99
61,118
58,112
52,123
49,137
35,120
53,115
56,132
38,113
57,118
54,112
68,107
69,120
68,120
67,114
64,120
64,117
55,138
55,120
56,117
63,118
67,120
70,123
64,108
64,106
70,102
73,109
68,106
62,117
30,124
74,108
71,131
41,136
69,113
71,107
69,108
69,104
70,107
67,110
54,122
66,108
88,119
74,101
117,77
94,87
106,93
104,63
112,99
94,86
98,103
98,89
91,107
82,140
77,134
79,140
77,135
69,135
86,146
75,136
66,159
70,127
57,136
69,137
72,161
68,121
76,129
65,126
62,127
76,135
62,124
85,117
79,144
82,129
59,119
74,115
73,129
55,113
96,108
64,112
72,109
84,127
90,110
87,112
84,119
86,125
84,131
61,148
82,121
84,127
77,128
97,97
90,131
77,136
8,9
40,133
96,136
83,154
76,157
64,148
78,147
76,147
76,148
77,166
72,155
9,6
43,149
76,153
84,140
61,135
85,130
96,154
64,127
8,6
72,166
51,137
88,111
94,131
65,165
77,141
62,142
73,139
45,143
71,136
72,84
