tap_data,time_data
360,568
353,573
360,577
360,582
355,590
360,596
360,602
359,606
360,611
360,618
360,625
360,631
358,635
360,643
360,647
359,652
360,659
360,665
360,672
360,676
360,682
360,688
359,692
353,700
353,705
360,711
360,717
359,721
360,729
360,733
359,741
360,745
353,750
359,758
359,766
352,770
359,774
352,779
352,786
359,793
353,799
353,803
360,809
360,815
360,822
360,827
360,831
360,839
353,844
353,849
360,856
360,862
360,869
360,872
359,878
360,885
360,889
352,897
360,901
359,905
360,913
360,920
360,926
359,930
360,936
360,942
356,946
360,954
359,958
360,966
360,971
355,975
355,983
360,987
359,996
360,1000
360,1005
353,1012
360,1016
360,1024
355,1028
360,1033
360,1040
359,1044
360,1052
354,1058
356,1065
359,1069
360,1076
359,1081
360,1085
355,1093
360,1098
360,1102
359,1110
360,1116
360,1122
360,1126
359,1131
354,1139
356,1144
359,1151
360,1155
360,1163
359,1167
355,1172
359,1180
359,1185
360,1192
359,1196
360,1201
360,1209
360,1213
354,1220
355,1225
360,1229
359,1237
360,1243
360,1249
358,1253
360,1261
360,1265
360,1270
360,1278
360,1282
359,1290
359,1294
360,1298
359,1307
359,1313
356,1319
356,1323
360,1327
360,1335
360,1340
360,1348
357,1354
359,1360
360,1364
358,1368
360,1376
360,1380
358,1389
360,1393
360,1398
359,1405
360,1409
354,1417
355,1421
359,1427
360,1434
360,1438
353,1446
353,1451
359,1458
360,1462
357,1467
360,1475
360,1479
360,1487
360,1491
359,1497
360,1503
360,1507
353,1516
360,1520
359,1524
360,1532
360,1536
360,1544
359,1549
360,1556
360,1560
360,1565
360,1573
353,1577
352,1585
360,1589
360,1593
360,1602
360,1607
353,1614
359,1619
359,1622
360,1630
360,1634
360,1643
360,1648
360,1655
357,1659
355,1665
360,1671
351,1676
353,1683
360,1687
360,1692
359,1700
360,1705
360,1712
360,1716
360,1721
359,1728
360,1733
356,1746
356,1747
359,1753
353,1757
353,1761
359,1770
360,1776
359,1781
359,1786
353,1790
360,1798
360,1802
355,1810
360,1814
360,1818
359,1826
359,1832
353,1840
358,1843
359,1851
353,1855
360,1860
360,1868
357,1874
359,1880
360,1884
355,1888
360,1896
359,1901
359,1909
360,1913
352,1917
353,1925
360,1929
353,1937
359,1942
360,1950
360,1954
359,1959
359,1966
360,1970
359,1979
353,1982
354,1989
360,1995
360,1998
360,2007
360,2011
354,2015
354,2023
360,2027
352,2035
360,2040
360,2044
357,2052
360,2059
360,2064
359,2071
360,2077
352,2081
353,2087
360,2093
360,2099
359,2105
360,2109
360,2115
360,2122
360,2128
360,2134
360,2138
353,2144
353,2150
359,2158
353,2162
355,2169
360,2175
360,2179
359,2184
360,2191
357,2197
360,2203
360,2207
360,2212
360,2220
353,2224
353,2232
360,2236
360,2240
360,2249
359,2255
353,2261
353,2267
360,2273
360,2277
360,2282
360,2289
360,2295
360,2302
353,2306
356,2311
360,2318
360,2322
360,2330
360,2334
353,2339
352,2347
360,2353
360,2359
360,2363
359,2371
355,2376
360,2381
360,2389
360,2394
360,2400
360,2405
359,2410
360,2417
360,2423
359,2429
360,2433
359,2437
355,2445
360,2451
360,2458
360,2462
360,2470
359,2474
360,2480
353,2486
353,2492
360,2499
360,2503
360,2509
360,2515
353,2519
356,2527
360,2531
360,2535
360,2543
360,2550
357,2556
360,2560
360,2568
360,2572
360,2578
360,2584
360,2588
360,2597
356,2601
354,2607
360,2613
360,2620
360,2625
360,2630
354,2636
360,2642
360,2649
359,2654
360,2658
360,2666
356,2671
360,2677
360,2683
360,2688
360,2695
355,2699
354,2706
360,2711
360,2717
360,2723
360,2728
360,2734
360,2740
353,2746
354,2752
360,2756
360,2765
359,2769
360,2775
360,2781
360,2787
360,2793
354,2797
360,2803
360,2810
360,2816
359,2822
360,2826
360,2832
360,2838
360,2845
356,2851
360,2855
360,2863
360,2867
360,2873
354,2879
355,2885
360,2892
413,2896
417,2900
420,2908
415,2919
418,2921
420,2928
413,2933
413,2937
420,2943
413,2949
414,2955
419,2961
420,2965
415,2969
415,2977
420,2983
415,2990
415,2995
420,3002
413,3006
416,3013
420,3019
420,3025
413,3031
417,3036
420,3043
415,3047
415,3051
420,3059
413,3066
413,3072
420,3078
420,3084
420,3088
420,3093
420,3102
420,3106
420,3113
420,3117
420,3125
420,3129
420,3133
413,3141
419,3147
420,3153
420,3158
413,3163
419,3170
420,3174
416,3182
419,3186
420,3194
413,3199
415,3205
420,3211
420,3217
413,3227
418,3229
420,3236
416,3240
419,3246
420,3252
413,3256
419,3265
420,3270
413,3277
414,3281
420,3287
420,3293
413,3298
419,3307
420,3312
416,3318
419,3322
420,3328
413,3334
415,3338
420,3346
420,3350
413,3357
418,3363
420,3369
416,3375
419,3381
420,3387
416,3391
420,3398
420,3403
413,3408
415,3416
419,3422
420,3428
416,3432
420,3438
420,3445
416,3450
419,3457
420,3461
413,3469
415,3473
420,3477
420,3485
413,3490
418,3498
420,3504
416,3510
419,3515
420,3518
413,3529
420,3533
420,3539
413,3544
415,3548
419,3556
420,3561
416,3568
420,3574
420,3580
416,3584
419,3588
420,3596
413,3601
414,3608
420,3615
420,3621
413,3625
418,3631
420,3637
416,3643
420,3649
510,3654
510,3662
503,3666
510,3672
510,3678
510,3684
503,3690
510,3697
503,3702
510,3707
510,3715
510,3719
503,3725
510,3731
510,3738
510,3743
503,3749
510,3756
510,3762
502,3768
508,3772
510,3776
510,3785
509,3791
503,3797
510,3803
503,3809
510,3815
510,3821
510,3826
503,3832
510,3838
510,3842
510,3850
503,3857
510,3862
509,3867
503,3875
509,3878
503,3885
509,3891
510,3897
510,3903
502,3909
510,3916
510,3922
502,3928
510,3932
503,3937
509,3944
509,3950
502,3957
509,3963
510,3969
509,3973
503,3981
510,3985
510,3991
510,3997
504,4003
510,4010
503,4015
509,4022
509,4026
509,4034
502,4038
509,4045
510,4051
502,4056
510,4063
502,4067
510,4075
509,4081
510,4087
502,4092
510,4098
509,4104
509,4108
503,4116
509,4122
510,4129
502,4133
509,4143
509,4145
510,4151
502,4157
510,4163
502,4169
510,4176
510,4182
510,4186
510,4194
502,4198
510,4204
510,4210
502,4215
510,4223
509,4227
509,4235
503,4239
509,4247
502,4251
510,4256
509,4264
503,4269
510,4276
510,4280
502,4288
509,4292
509,4297
510,4305
509,4309
510,4317
509,4323
502,4329
510,4333
509,4341
502,4346
510,4352
510,4358
510,4364
420,4370
420,4375
420,4382
416,4389
420,4395
420,4401
413,4405
416,4411
420,4416
420,4423
413,4427
418,4434
420,4440
416,4445
420,4453
420,4457
413,4464
415,4468
420,4475
413,4481
416,4485
420,4493
420,4500
415,4505
419,4509
420,4516
413,4522
418,4527
420,4534
413,4540
415,4547
420,4551
420,4555
413,4563
419,4567
420,4575
413,4582
419,4587
420,4592
413,4598
413,4604
420,4609
413,4616
417,4620
416,4624
420,4632
413,4638
419,4645
420,4650
417,4657
416,4661
420,4665
413,4673
419,4678
420,4686
420,4692
413,4698
419,4702
420,4707
416,4714
416,4721
420,4727
413,4733
413,4739
420,4743
412,4749
418,4755
420,4762
420,4767
413,4772
419,4780
420,4784
417,4790
416,4796
420,4802
413,4808
418,4813
420,4819
420,4825
416,4831
420,4837
420,4843
420,4849
420,4854
420,4858
416,4866
420,4872
420,4878
415,4883
416,4891
420,4894
420,4899
413,4907
419,4911
420,4919
417,4923
420,4931
420,4935
413,4941
415,4948
420,4954
420,4960
413,4965
419,4972
420,4976
417,4981
416,4989
420,4995
413,5001
413,5005
420,5012
420,5018
420,5024
420,5030
420,5034
420,5042
420,5046
420,5053
420,5058
419,5065
420,5070
413,5075
415,5083
420,5087
420,5093
413,5099
420,5106
420,5111
416,5117
420,5124
420,5128
413,5132
415,5141
420,5146
390,5153
389,5157
389,5165
390,5169
385,5174
389,5181
390,5187
384,5194
387,5198
390,5206
390,5210
390,5216
390,5222
390,5228
388,5234
390,5239
390,5243
385,5251
388,5255
390,5263
390,5268
390,5275
390,5280
390,5284
390,5292
390,5298
390,5304
387,5310
389,5316
390,5320
384,5325
385,5333
390,5337
390,5345
384,5351
386,5357
390,5361
386,5366
389,5374
390,5379
384,5386
387,5390
390,5399
384,5403
385,5409
386,5415
390,5421
385,5427
390,5431
390,5436
386,5444
390,5450
390,5456
390,5462
390,5468
390,5472
390,5478
390,5484
388,5491
390,5497
386,5503
390,5509
390,5513
390,5519
390,5525
390,5529
390,5538
390,5544
390,5550
390,5554
390,5560
389,5566
390,5572
384,5578
384,5585
390,5591
384,5595
387,5601
390,5607
390,5614
385,5620
390,5624
390,5630
384,5636
388,5642
390,5648
384,5652
387,5660
390,5664
390,5668
384,5677
388,5683
390,5689
388,5695
386,5701
390,5705
384,5709
388,5717
390,5722
384,5730
386,5734
390,5742
390,5746
385,5750
390,5758
390,5765
384,5771
388,5775
390,5783
384,5787
387,5793
390,5800
390,5805
384,5812
387,5816
390,5822
386,5828
389,5835
390,5841
384,5844
388,5853
390,5857
384,5863
387,5869
386,5873
390,5881
385,5887
390,5893
390,5898
388,5902
386,5910
390,5916
384,5922
387,5926
390,5935
390,5939
386,5945
386,5951
390,5956
385,5964
390,5968
390,5976
384,5980
384,5984
390,5992
384,5999
387,6004
386,6009
390,6012
386,6021
389,6027
390,6033
386,6039
389,6045
390,6049
384,6054
387,6062
390,6067
390,6074
385,6080
390,6086
390,6091
385,6095
386,6103
390,6107
383,6115
385,6120
390,6127
384,6131
385,6135
386,6143
390,6149
385,6156
390,6160
390,6168
388,6172
386,6176
390,6184
384,6189
387,6197
390,6201
390,6205
385,6213
390,6217
390,6226
385,6229
386,6238
390,6242
384,6248
384,6254
390,6260
384,6266
387,6270
390,6279
390,6283
384,6289
390,6295
390,6301
384,6307
388,6314
390,6320
384,6324
387,6328
390,6336
390,6343
384,6348
388,6353
390,6360
385,6365
386,6371
390,6377
384,6384
384,6389
390,6393
384,6399
387,6406
390,6412
390,6418
385,6422
390,6430
390,6435
384,6440
388,6447
390,6451
384,6459
387,6464
390,6471
390,6475
384,6481
388,6487
390,6495
385,6500
389,6506
390,6513
384,6516
388,6520
906,6528
1560,6533
1391,6541
1504,6550
1614,6557
1649,6564
1658,6572
1534,6578
949,6586
420,6590
390,6596
390,6606
390,6609
390,6614
384,6619
390,6625
390,6631
390,6637
390,6643
390,6649
390,6655
390,6659
390,6666
390,6673
384,6678
389,6684
417,6688
1960,6697
2025,6705
2111,6710
2176,6719
2236,6728
2157,6733
1436,6742
804,6746
420,6754
396,6758
390,6766
390,6770
389,6776
390,6782
384,6788
384,6795
389,6801
390,6807
386,6811
390,6816
390,6824
386,6828
390,6836
416,6840
1874,6848
1904,6857
1982,6863
2044,6871
2094,6879
1985,6885
1209,6893
419,6897
419,6901
390,6909
386,6916
390,6922
390,6926
390,6934
390,6938
390,6942
390,6951
390,6957
390,6963
390,6967
388,6972
389,6979
416,6986
1766,6991
1895,7000
1969,7008
2081,7013
2144,7022
2177,7028
2171,7036
1960,7045
946,7053
420,7057
412,7063
387,7069
390,7075
384,7082
384,7086
390,7090
390,7098
384,7102
387,7111
390,7115
385,7121
390,7127
390,7133
385,7139
1598,7145
1871,7151
1935,7160
2090,7167
2178,7176
2235,7180
2213,7188
2067,7199
1056,7204
414,7212
417,7217
390,7221
390,7229
390,7233
390,7239
390,7245
388,7252
389,7257
390,7263
384,7270
384,7274
390,7280
390,7286
384,7292
387,7299
390,7303
1420,7311
1934,7317
1924,7323
2082,7333
2144,7340
2127,7348
2016,7356
1431,7360
705,7368
418,7373
406,7380
390,7386
390,7393
390,7397
390,7403
387,7409
390,7413
390,7421
390,7426
384,7430
385,7438
390,7444
386,7450
420,7456
1750,7462
1940,7470
2087,7477
2289,7485
2386,7493
2402,7501
2376,7510
2199,7516
1239,7524
420,7528
420,7536
390,7540
390,7547
390,7552
390,7559
390,7565
390,7569
390,7575
390,7581
384,7585
390,7593
390,7598
392,7606
1758,7610
2207,7620
2219,7626
2573,7634
2832,7642
2945,7651
2989,7659
2834,7667
2419,7675
1351,7684
420,7689
419,7697
390,7700
384,7704
389,7712
390,7718
384,7725
384,7728
389,7735
390,7741
386,7745
390,7753
390,7759
386,7766
390,7770
411,7776
1633,7782
2363,7790
2354,7798
2626,7807
2820,7815
2851,7823
2775,7831
2440,7839
1367,7845
419,7852
419,7858
390,7864
390,7868
390,7876
390,7880
390,7884
390,7892
389,7897
390,7905
384,7909
384,7917
389,7921
420,7925
1768,7936
2116,7942
2178,7950
2446,7956
2635,7962
2673,7970
2621,7980
2305,7989
