tap_data,time_data
360,558
353,574
360,580
360,585
355,589
360,598
360,602
360,608
360,614
354,620
356,626
360,630
360,637
360,643
360,647
357,655
360,659
360,665
360,671
360,676
360,684
360,690
360,696
353,700
355,704
360,712
360,718
360,724
360,729
358,733
360,741
360,747
357,753
360,757
360,762
360,770
360,776
354,782
355,788
360,794
360,798
360,805
360,811
353,816
360,823
360,827
358,833
360,839
360,843
360,851
360,856
353,862
353,868
360,872
360,881
360,884
360,892
360,897
360,901
360,909
357,913
360,921
359,925
355,930
360,938
359,944
354,950
360,954
360,960
360,966
360,970
354,979
356,983
360,992
360,995
360,999
360,1007
360,1011
360,1019
360,1024
360,1030
360,1036
353,1042
353,1048
360,1052
360,1056
360,1064
360,1068
353,1077
360,1081
360,1089
359,1093
360,1100
360,1105
360,1109
360,1118
360,1122
360,1128
360,1134
353,1138
358,1146
360,1151
360,1155
360,1163
360,1167
358,1175
360,1179
360,1187
418,1192
420,1196
420,1204
414,1208
420,1216
420,1220
418,1225
420,1233
420,1239
413,1245
413,1254
420,1257
413,1261
416,1265
419,1274
420,1280
413,1286
418,1290
420,1298
414,1302
420,1308
420,1314
413,1319
416,1327
420,1331
420,1339
413,1343
417,1347
420,1356
415,1360
420,1368
420,1372
413,1380
413,1384
420,1388
413,1396
415,1400
420,1408
420,1413
415,1418
420,1425
420,1432
419,1437
415,1442
420,1449
413,1454
419,1458
420,1466
420,1470
413,1478
419,1483
420,1490
415,1494
420,1499
420,1507
413,1513
415,1519
420,1526
413,1531
414,1536
420,1540
420,1548
415,1553
420,1560
420,1566
419,1572
416,1578
420,1581
413,1589
418,1593
420,1602
420,1605
413,1609
419,1618
420,1624
413,1630
418,1636
420,1642
413,1646
413,1651
420,1658
420,1663
420,1671
420,1675
420,1683
420,1687
420,1691
420,1699
418,1705
419,1712
420,1716
413,1724
414,1728
419,1732
420,1740
417,1746
419,1753
420,1757
415,1765
420,1769
420,1773
413,1781
415,1785
420,1793
420,1798
413,1802
418,1810
420,1814
416,1822
420,1827
420,1835
415,1839
420,1843
420,1851
413,1855
415,1863
419,1868
420,1875
413,1880
419,1884
420,1892
416,1898
419,1904
420,1909
413,1916
415,1921
420,1925
420,1933
413,1937
418,1945
420,1949
416,1957
419,1962
420,1966
413,1974
419,1980
420,1986
413,1990
414,1996
420,2002
420,2007
413,2015
419,2021
420,2027
416,2032
419,2036
420,2043
413,2048
415,2056
420,2062
420,2068
413,2073
418,2077
420,2085
416,2089
419,2097
420,2101
413,2109
419,2113
420,2117
413,2126
414,2130
420,2138
420,2142
413,2150
419,2154
420,2161
416,2167
419,2171
420,2179
413,2184
415,2187
420,2195
420,2199
413,2207
418,2214
420,2219
416,2224
419,2228
420,2236
416,2241
419,2248
420,2254
413,2261
414,2265
420,2271
420,2277
413,2281
419,2289
420,2294
416,2301
419,2306
420,2309
413,2318
414,2322
420,2330
420,2334
413,2342
418,2347
420,2351
416,2359
420,2363
420,2372
415,2375
420,2381
420,2388
413,2393
415,2400
419,2405
420,2412
413,2416
419,2422
420,2429
416,2433
419,2441
420,2447
413,2454
414,2457
420,2463
420,2469
413,2474
418,2482
420,2488
416,2494
420,2498
420,2504
415,2511
420,2514
420,2523
413,2527
415,2535
419,2539
420,2543
413,2551
419,2556
420,2564
416,2568
419,2574
420,2580
413,2584
414,2592
420,2597
420,2605
413,2609
418,2615
420,2621
416,2625
420,2633
420,2637
415,2646
420,2650
420,2656
413,2662
414,2666
419,2675
420,2681
417,2686
419,2691
420,2697
415,2703
420,2707
420,2715
441,2719
450,2727
9187,2735
9906,2753
10000,2767
10000,2787
10000,2795
10000,2805
6104,2818
450,2830
450,2834
448,2839
420,2846
420,2850
420,2858
420,2863
420,2867
414,2875
419,2879
420,2888
420,2893
413,2900
419,2904
420,2909
413,2916
418,2922
420,2928
440,2932
599,2941
10000,2947
10000,2961
10000,2977
10000,2995
10000,3011
9593,3018
1003,3031
450,3039
450,3043
450,3047
442,3055
448,3059
442,3067
425,3071
