tap_data,time_data
0,0
30,2
29,3
30,4
29,6
30,7
30,8
29,9
30,10
29,11
30,12
30,14
30,15
30,16
30,17
30,18
30,20
30,21
30,22
30,24
30,25
30,26
30,28
30,29
29,30
29,32
30,33
29,34
29,35
29,37
29,38
30,39
30,40
29,42
30,43
29,44
30,45
30,46
29,48
30,49
29,50
30,51
30,52
29,54
30,55
29,56
29,57
30,58
29,60
29,61
30,62
29,63
30,65
30,66
29,67
30,68
30,70
29,71
30,72
29,74
29,75
30,76
29,77
29,79
29,80
29,81
30,82
30,83
29,85
30,86
29,88
30,89
30,90
29,91
30,93
29,94
30,95
30,96
29,97
30,99
29,100
29,102
30,103
29,104
29,105
29,106
30,107
30,109
29,110
30,111
29,113
30,114
30,115
29,117
30,118
29,119
30,120
30,122
29,128
30,133
29,140
29,147
30,154
29,156
29,165
29,169
30,178
30,185
29,190
30,197
29,204
30,210
30,216
29,223
30,228
29,237
30,243
30,248
29,255
30,259
29,267
29,272
30,282
29,286
29,293
30,296
30,306
29,312
30,316
30,324
29,329
30,336
30,343
29,349
30,355
29,362
30,369
30,376
30,382
30,386
30,397
30,398
30,406
30,411
30,419
30,425
30,432
30,439
30,446
30,451
30,455
29,466
29,468
30,478
29,480
29,488
30,496
30,501
29,509
30,515
30,522
30,525
30,536
32,537
10000,592
9538,640
40,652
30,658
30,662
31,668
30,675
36,681
29,689
30,695
31,701
31,705
30,716
30,718
32,726
10000,779
7004,814
51,824
32,828
30,836
30,844
30,849
30,857
30,863
29,870
30,875
30,884
29,887
29,894
36,902
10000,953
3498,973
31,984
30,988
30,996
30,1001
30,1008
30,1015
30,1022
30,1025
30,1035
29,1037
29,1045
29,1053
29,1058
30,1066
30,1072
38,1078
10000,1129
3825,1154
52,1164
33,1168
30,1172
32,1182
31,1184
30,1195
30,1197
30,1205
30,1213
30,1217
31,1225
30,1230
30,1238
34,1244
10000,1293
6865,1334
54,1344
31,1348
30,1355
31,1362
29,1365
29,1373
29,1379
29,1387
30,1393
29,1398
31,1406
30,1411
30,1418
36,1424
36,1432
10000,1483
3039,1501
34,1512
30,1516
30,1522
29,1529
30,1537
30,1541
30,1549
30,1555
32,1563
30,1565
30,1573
30,1577
30,1586
29,1594
30,1598
10000,1654
4643,1682
36,1688
30,1692
30,1699
31,1705
30,1713
30,1717
35,1725
30,1730
30,1740
30,1744
30,1751
30,1754
30,1765
10000,1814
7725,1855
54,1864
32,1869
30,1877
30,1883
30,1890
30,1897
31,1904
30,1909
30,1914
35,1924
30,1926
42,1934
10000,1987
7551,2029
30,2036
39,2043
31,2048
30,2053
32,2061
30,2065
30,2074
30,2078
30,2086
30,2092
30,2098
30,2106
30,2112
29,2118
30,2123
29,2130
28,2135
10000,2189
2702,2210
30,2217
35,2221
30,2227
29,2233
30,2241
30,2245
30,2253
30,2257
30,2266
30,2271
30,2279
30,2282
30,2290
30,2298
30,2302
30,2311
30,2317
30,2323
32,2327
10000,2379
878,2393
38,2401
40,2405
29,2410
29,2419
29,2425
28,2429
30,2438
30,2442
30,2452
29,2454
30,2462
29,2466
30,2476
31,2480
30,2487
36,2495
10000,2543
4473,2570
40,2581
30,2585
30,2594
30,2597
30,2606
30,2610
30,2621
30,2626
30,2630
30,2638
29,2644
29,2651
29,2657
29,2666
30,2668
29,2676
49,2679
10000,2727
1272,2747
30,2753
30,2761
30,2766
28,2774
30,2778
29,2786
29,2792
29,2799
30,2802
30,2810
30,2814
30,2824
30,2831
30,2835
43,2843
10000,2893
3206,2913
31,2925
30,2929
30,2933
30,2941
29,2950
29,2954
29,2962
30,2966
29,2974
29,2978
28,2987
30,2991
30,2999
30,3007
29,3011
30,3019
10000,3066
988,3081
34,3089
30,3095
30,3101
28,3105
29,3113
29,3117
29,3126
29,3134
28,3140
30,3146
30,3150
29,3160
29,3163
30,3171
30,3175
30,3183
10000,3238
1855,3251
31,3261
35,3265
30,3271
30,3277
30,3282
30,3292
30,3294
30,3304
30,3310
30,3314
31,3322
30,3326
29,3337
30,3339
31,3347
10000,3402
2520,3412
37,3425
30,3429
