tap_data,time_data
45,6
30,7
30,9
41,10
35,11
30,12
37,14
35,15
30,16
35,17
46,19
34,20
37,21
41,22
32,24
30,25
30,26
31,27
30,29
37,30
33,31
30,32
49,34
35,35
30,36
47,37
31,39
30,40
42,41
35,43
30,44
33,46
38,47
30,48
32,50
40,51
34,52
33,53
33,54
30,56
30,57
30,58
34,59
30,60
35,62
32,63
30,64
45,65
32,66
30,68
36,69
33,70
30,71
32,73
32,74
31,75
34,76
39,77
28,78
30,80
30,81
34,83
30,84
30,85
30,86
29,87
35,88
36,90
30,91
48,92
32,93
30,95
39,96
32,97
30,98
37,99
35,100
30,101
32,103
38,104
38,105
32,106
32,107
31,108
30,109
30,111
35,114
29,124
41,127
32,134
30,139
54,147
34,155
30,159
35,167
33,173
30,180
33,183
33,194
31,198
33,204
36,212
33,216
33,224
34,229
36,236
30,243
31,251
33,256
31,264
44,269
35,275
30,282
42,287
32,294
29,300
41,306
33,312
30,318
33,327
32,333
30,339
33,343
47,354
33,357
31,364
31,368
33,376
30,384
31,388
33,396
30,400
44,409
29,413
30,421
41,425
32,433
30,441
35,448
37,454
30,460
35,466
38,471
30,478
31,482
41,492
30,499
31,503
36,511
33,515
30,523
30,527
32,536
30,540
36,548
35,556
30,560
32,568
30,573
30,583
37,585
35,593
30,597
35,605
33,613
29,618
37,626
39,630
30,638
33,644
33,653
32,656
31,665
30,671
37,677
30,683
37,687
30,695
30,699
48,708
34,714
30,720
43,728
38,734
30,740
34,744
34,753
31,757
32,765
40,771
31,780
32,785
34,791
36,798
30,802
30,811
33,814
31,822
35,826
31,835
29,843
48,847
31,856
30,862
42,867
35,871
30,882
39,884
30,894
31,900
31,904
35,912
31,917
31,925
44,929
43,937
10000,991
3968,1013
31,1023
52,1027
36,1035
30,1041
45,1047
33,1052
30,1060
36,1064
31,1073
31,1078
33,1085
43,1093
38,1097
35,1105
55,1109
10000,1159
58,1171
42,1175
31,1183
39,1189
34,1195
30,1203
42,1207
31,1215
30,1220
47,1228
34,1232
30,1240
41,1246
39,1252
31,1261
10000,1311
1182,1322
52,1331
39,1334
30,1343
30,1351
37,1355
30,1363
37,1367
36,1375
30,1381
48,1390
36,1393
30,1400
46,1408
10000,1450
1484,1475
32,1482
38,1488
36,1492
35,1498
32,1506
46,1512
35,1518
33,1523
38,1534
35,1535
33,1543
53,1547
10000,1603
1722,1617
33,1625
43,1629
32,1637
30,1642
36,1650
37,1654
30,1662
41,1667
38,1674
30,1678
48,1689
43,1695
10000,1738
4598,1768
31,1784
49,1785
39,1793
30,1801
40,1805
29,1813
30,1818
34,1826
39,1830
36,1839
39,1842
59,1850
10000,1906
2432,1916
49,1928
38,1934
30,1940
45,1944
39,1953
30,1961
45,1965
37,1973
30,1977
46,1985
10000,2032
3050,2062
42,2068
46,2072
31,2075
38,2084
38,2092
39,2096
31,2104
30,2109
34,2118
30,2121
39,2129
37,2133
38,2141
10000,2196
2425,2211
37,2219
36,2226
42,2232
40,2235
32,2244
34,2252
36,2256
31,2264
34,2268
34,2276
29,2282
53,2289
53,2293
10000,2347
50,2358
31,2362
37,2367
35,2375
30,2379
