tap_data,time_data
30,0
30,2
30,3
30,4
30,6
30,7
29,8
30,9
30,10
29,11
30,12
29,14
30,15
30,16
29,17
30,18
29,19
33,20
30,22
30,23
30,24
30,25
30,26
30,27
30,28
30,30
29,31
30,32
30,33
30,34
30,35
30,36
30,38
30,39
30,40
30,41
30,43
30,44
30,45
30,47
30,48
30,49
30,50
30,51
30,52
30,53
30,54
30,56
30,57
29,58
29,59
30,61
29,62
29,63
29,64
29,65
30,66
30,68
29,69
30,70
29,71
30,72
30,74
29,75
30,76
29,77
30,78
30,79
29,80
30,82
29,83
29,84
30,85
29,86
29,88
30,89
29,90
31,92
30,93
30,94
30,95
30,96
30,97
31,98
30,100
30,101
31,102
29,103
29,104
30,105
30,106
30,108
30,109
30,110
30,111
30,112
30,113
30,114
30,116
31,117
30,118
30,119
30,120
30,121
30,122
30,123
30,125
30,126
31,127
30,128
30,130
30,131
30,132
30,133
30,134
30,135
30,137
30,138
30,139
30,140
30,142
30,143
30,144
30,145
30,146
30,147
30,149
30,152
30,160
30,164
31,172
30,179
29,184
31,190
30,197
30,203
30,209
30,217
30,224
30,229
34,235
29,244
30,246
29,254
30,258
29,266
29,274
29,278
29,287
33,291
30,301
30,303
30,311
30,315
30,325
30,328
30,336
29,344
28,349
30,356
30,363
29,370
29,373
30,381
30,385
30,393
30,401
30,406
30,414
30,418
30,426
30,432
30,440
28,444
29,453
29,455
30,463
30,471
30,475
30,484
30,487
30,496
30,502
30,508
30,512
30,522
30,528
29,533
29,541
29,547
29,553
29,557
28,567
29,569
29,578
30,586
30,592
29,598
29,602
29,610
29,614
29,623
28,627
29,635
29,641
30,649
31,655
28,662
30,668
30,672
30,682
30,684
30,692
30,696
30,706
30,713
30,717
30,725
30,731
30,738
30,741
30,752
30,755
29,762
29,766
29,776
29,782
29,786
31,795
30,799
30,807
30,811
30,822
30,823
30,831
30,840
30,844
30,852
30,859
29,864
29,870
29,877
29,881
30,890
30,897
30,901
30,909
31,913
30,922
30,926
32,934
29,938
30,946
30,951
30,958
30,967
30,971
30,979
30,983
30,991
30,997
29,1003
